New File Column Name                    ,  Field Description                                                                                                                                                                                                                                                                                                                 ,Field Name                               , Data Type         , String Length, Source         , Source Field (FTE)                        , Constant Value  , Business Logic (if any)                                                                                                                                                    , Sample Values                          , Required, Allow Null, Reference To Field, Reference To File
UniqueName                              ,  A unique internal identifier for the user. This is the name the user enters when logging in to your site.                                                                                                                                                                                                                         ,User.UniqueName                          , String            ,           255, Entra          , UserPrincipalName                         ,                 ,                                                                                                                                                                            , aagassi                                , true    ,           ,                   , 
PasswordAdapter                         ,  "The name of a password adapter, such as PasswordAdapter1, which must match a value defined in System.PasswordAdapters."                                                                                                                                                                                                          ,User.PasswordAdapter                     , String            ,            50,                ,                                           , PasswordAdapter1, Constant                                                                                                                                                                   , PasswordAdapter1                       , true    ,           ,                   , 
Name                                    ,  The full name of the user. This is the name that appears in the user interface.                                                                                                                                                                                                                                                   ,User.Name                                , MultiLingualString,              , Entra          , WorkerNameNickname WorkerNamePreferredLast,                 , "Name fields concatenated as $""{First} {Last}"""                                                                                                                          , Alex Agassi                            , true    ,           ,                   , 
EmailAddress                            ,  "The user email address, which is used for sending notification messages. The value must be a simple email address, such as jbenning, without domain or qualifiers."                                                                                                                                                              ,User.EmailAddress                        , String            ,           255, entra          , Email                                     ,                 , if no e-mail in the ad.Users table (blank or null)  and not in a production environment then use 'no-email@mtb{environment}.com where environment is either 'cert' or 'dev', devnull@devmail.ariba.com              , true    ,           ,                   , 
JobId                                   ,  Job id for the user                                                                                                                                                                                                                                                                                                               ,User.JobProfile.JobFunction.JobId        , String            ,            32, Entra          , user.group.displayName                    ,                 , "if the user has the ""a-ARBxx-BranchUser"" user group then blank otherwise ""JF00002"""                                                                                   , 001                                    ,         ,           , JobId             , JobFunction.csv
DefaultCurrency.UniqueName              ,  "A default currency for the user. If this field is null, it defaults to the value specified as Application.Base.Data.DefaultCurrency."                                                                                                                                                                                            ,User.DefaultCurrency.UniqueName          , String            ,            50,                ,                                           ,                 , Not Used                                                                                                                                                                   , USD                                    ,         ,           ,                   , 
LocaleID.UniqueName                     ,  "The user's preferred locale. When a user logs in, the preferred locale determines the language for the user interface. Users can change their preferred locale by modifying their user preferences."                                                                                                                             ,User.LocaleID.UniqueName                 , String            ,            50,                ,                                           ,                 , Not Used                                                                                                                                                                   , en_US                                  ,         ,           ,                   , 
TimeZoneID                              ,  "The time zone of the user, designated with a standard abbreviation such as PST. If the field is not specified, the system defaults to the server time zone. For example, if a user in Japan does not have a specified TimeZoneId and is working on a server in California, that user is assigned to Pacific Standard Time (PST).",User.TimeZoneID                          , String            ,            50,                ,                                           , US/Eastern      ,                                                                                                                                                                            ,                                        , false   ,           ,                   , 
Phone                                   ,  The user's phone number.                                                                                                                                                                                                                                                                                                          ,User.Phone                               , String            ,            70, entra          , businessPhones                            ,                 ,                                                                                                                                                                            , "First item in array, blank if nothing",         ,           ,                   , 
Fax                                     ,  The user's fax number.                                                                                                                                                                                                                                                                                                            ,User.Fax                                 , String            ,            70,                ,                                           ,                 , Not Used                                                                                                                                                                   ,                                        ,         ,           ,                   , 
